Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23
78.547,23.984,14.779,17.171,12.661,23.007,20.250,22.829,16.392,14.979,31.705,29.938,14.455,11.000,5.386,7.556,10.481,6.480,8.990,12.286,10.229,6.098,9.544
77.395,23.806,13.500,16.729,10.946,23.026,18.921,18.714,21.633,13.802,25.341,31.288,14.523,10.208,6.909,7.282,9.240,6.486,10.385,13.048,8.188,6.010,8.993
74.884,24.919,15.115,17.657,11.152,22.073,17.107,21.143,22.038,15.177,31.136,32.175,14.795,11.000,7.477,6.677,8.971,6.426,9.721,13.393,8.812,5.765,8.507
77.849,23.395,14.365,16.814,12.402,23.815,20.493,21.500,18.886,16.562,26.568,28.800,13.659,9.556,5.864,7.323,7.490,7.892,9.692,11.786,8.438,7.314,8.294
79.616,23.452,17.067,16.971,10.393,22.868,18.543,21.857,21.582,19.490,29.773,28.950,14.477,13.986,5.886,6.387,7.269,7.054,9.298,14.214,8.354,6.853,7.757
75.628,22.484,14.962,15.471,11.982,21.073,17.621,20.229,22.468,18.260,21.114,28.125,10.636,11.875,5.795,7.073,6.327,6.865,9.077,13.298,9.115,6.637,8.824
72.267,23.855,14.058,15.543,11.661,23.675,17.786,21.543,23.430,17.177,26.409,29.275,13.114,11.750,6.341,8.161,6.846,7.622,9.529,10.988,10.083,6.186,8.801
80.012,24.460,15.529,15.843,12.062,21.636,16.557,24.357,23.418,16.740,26.364,28.050,11.818,10.417,5.750,7.000,6.519,7.507,9.808,11.869,8.677,5.422,7.551
76.047,23.282,14.673,16.471,11.125,23.371,14.236,22.443,26.000,19.146,24.227,30.087,14.455,9.889,7.000,6.169,6.500,7.155,8.558,13.976,9.073,6.961,7.404
79.093,24.161,13.712,16.800,13.107,23.768,17.600,21.886,24.468,18.167,24.568,28.900,14.682,11.292,7.091,7.831,6.510,6.486,8.606,11.690,8.240,6.010,8.140
81.965,24.645,14.673,17.243,11.830,21.735,16.936,23.586,25.101,17.990,23.295,28.712,11.682,12.375,4.318,7.073,6.288,5.628,9.308,12.000,8.219,5.588,7.978
75.209,24.565,13.721,18.843,11.554,22.570,16.021,23.686,23.671,18.198,26.159,31.587,11.136,10.875,6.227,6.742,6.519,6.264,10.231,14.143,11.062,6.412,7.537
74.756,23.202,13.683,15.914,12.116,24.907,16.579,20.786,25.646,15.771,29.341,27.000,13.864,11.875,5.614,7.097,7.288,5.655,7.865,14.143,10.531,5.333,7.147
82.570,22.113,13.865,18.800,12.429,23.881,16.979,22.986,23.772,16.677,29.295,31.938,13.886,10.292,4.727,6.613,6.240,6.757,9.308,14.131,10.375,6.980,7.110
76.616,22.758,13.404,17.829,11.045,22.861,17.843,22.614,24.848,16.635,25.523,32.138,14.682,11.889,8.409,7.315,6.279,6.020,10.692,14.476,8.062,7.196,9.559
78.430,22.339,14.394,17.943,11.402,22.781,17.736,20.100,22.494,18.365,24.432,30.663,13.727,10.667,6.864,6.565,4.933,4.986,10.365,12.869,7.531,5.608,8.500
78.023,22.056,12.702,20.486,11.670,21.834,18.221,21.057,22.013,17.917,27.909,29.025,10.977,11.111,5.136,6.137,6.923,5.196,9.692,14.905,7.844,5.990,8.096
